#Object	RA	e_RA	Dec	e_Dec	Distance	e_Distance	E_BP_RP	e_E_BP_RP	FeH	e_FeH	Parallax	e_Parallax	RUWE	e_RUWE	Tspec	e_Tspec	logg	e_logg	
4689639266844741376		6.02136691235	1.0027777777777777e-08	--	--	-72.08178209766	1.061111111111111e-08	--	--	3684.83325	3753.48938	--	--	1.671	0	--	--	nan	0.5	--	--	0.2545	0.049	--	--	1.421	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639266845495936		6.0239467098	1.2161111111111113e-07	--	--	-72.08038944149	2.565833333333333e-07	--	--	--	--	--	--	2.95	0	--	--	nan	0.5	--	--	nan	nan	--	--	nan	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639468699960576		6.01931864457	8.416666666666668e-09	--	--	-72.07951386013	9.027777777777778e-09	--	--	2901.00635	2954.420415	--	--	1.715	0	--	--	nan	0.5	--	--	0.3363	0.0332	--	--	1.273	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639266845827200		6.02947111849	7.226111111111111e-07	--	--	-72.08078295263	3.0919444444444444e-07	--	--	--	--	--	--	3.53	0	--	--	nan	0.5	--	--	nan	nan	--	--	nan	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639473003156224		6.02630135098	1.0055555555555556e-08	--	--	-72.07927524167	1.0833333333333333e-08	--	--	4895.57178	4947.60962	--	--	1.721	0	--	--	-1.1721	0.5	--	--	0.1759	0.0433	--	--	1.595	0	--	--	5175.9517	500.0	--	--	0.6786	1.0	--	--
4689639473003171456		6.01326036174	5.861111111111111e-09	--	--	-72.08074979218	6.0555555555555555e-09	--	--	3518.68018	3580.30127	--	--	1.539	0	--	--	nan	0.5	--	--	0.2622	0.0233	--	--	1.037	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639473003178752		6.01290785121	1.3102777777777777e-07	--	--	-72.08195746906	1.2036111111111112e-07	--	--	2544.44336	2856.65039	--	--	2.122	0	--	--	nan	0.5	--	--	-0.0189	0.4388	--	--	14.225	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639473003162368		6.01588422177	4.458333333333333e-08	--	--	-72.07907637596	3.7694444444444443e-08	--	--	27850.3965	26940.28125	--	--	1.833	0	--	--	nan	0.5	--	--	-0.8473	0.1532	--	--	4.362	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639473007346304		6.0178498664	6.241666666666667e-08	--	--	-72.07813894197	6.7e-08	--	--	--	--	--	--	2.079	0	--	--	nan	0.5	--	--	nan	nan	--	--	nan	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639473003815680		6.01468415191	7.580555555555555e-08	--	--	-72.07766786559	9.030555555555556e-08	--	--	--	--	--	--	2.398	0	--	--	nan	0.5	--	--	nan	nan	--	--	nan	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639266845671552		6.02425173528	1.6472222222222222e-08	--	--	-72.08594263337	1.5166666666666667e-08	--	--	2780.58813	3070.7279049999997	--	--	1.733	0	--	--	nan	0.5	--	--	0.3389	0.0664	--	--	2.474	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639473007336192		6.0070114638	2.6666666666666667e-08	--	--	-72.08237381657	2.4250000000000002e-08	--	--	1979.32861	2027.3363049999998	--	--	1.581	0	--	--	nan	0.5	--	--	0.4956	0.0895	--	--	4.081	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639266848619776		6.01676073007	1.0777777777777779e-08	--	--	-72.08613178186	9.61111111111111e-09	--	--	2430.24609	2475.1553949999998	--	--	1.604	0	--	--	nan	0.5	--	--	0.3848	0.04	--	--	1.138	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639266848578048		6.02809512233	1.9694444444444444e-08	--	--	-72.08623875557	1.4527777777777778e-08	--	--	3659.97144	3877.86133	--	--	2.015	0	--	--	nan	0.5	--	--	0.2601	0.0584	--	--	2.298	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639473003168896		6.00660992943	1.922222222222222e-08	--	--	-72.07951491632	1.972222222222222e-08	--	--	1657.64453	1677.83545	--	--	1.561	0	--	--	nan	0.5	--	--	0.583	0.0811	--	--	2.863	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639266844775296		6.0105304619	1.0444444444444444e-08	--	--	-72.08539932738	1.138888888888889e-08	--	--	3617.64282	3681.830445	--	--	1.857	0	--	--	0.4695	0.5	--	--	0.25	0.0435	--	--	1.074	0	--	--	3523.803	500.0	--	--	0.3246	1.0	--	--
4689639468699955200		6.01223992305	1.8138888888888887e-08	--	--	-72.07687955627	1.3555555555555556e-08	--	--	8244.82422	9497.19483	--	--	1.892	0	--	--	-0.5499	0.5	--	--	0.0511	0.0608	--	--	3.137	0	--	--	5836.082	500.0	--	--	2.3827	1.0	--	--
4689639266844727040		6.04222129412	2.3019444444444443e-07	--	--	-72.08167738971	2.1205555555555555e-07	--	--	--	--	--	--	1.914	0	--	--	nan	0.5	--	--	nan	nan	--	--	nan	0	--	--	nan	500.0	--	--	nan	1.0	--	--
4689639468699968384		6.03519950983	1.577777777777778e-08	--	--	-72.07665389158	1.4027777777777778e-08	--	--	3831.83936	3840.2904049999997	--	--	1.759	0	--	--	nan	0.5	--	--	0.2493	0.0351	--	--	1.322	0	--	--	nan	500.0	--	--	nan	1.0	--	--
