#Object	Effective temperature	Luminosity	Radius	Chi^2
#Name	Kelvin	Solar luminosities	Solar Radii	
4689639266844741376	4305.292383668711	821.377839240084	57.58423722035835	0.0008610019263565782
4689639266845495936	4809.495349955396	285.22439233919715	25.96559500535333	0.010823317751460877
4689639468699960576	4518.484716351268	586.1441062475027	43.202824188602115	0.0009932063796018744
4689639266845827200	4856.252909053583	243.59874210107063	23.46342451936265	0.011236195364036717
4689639473003156224	3805.9711497230455	1579.1784277634977	105.37519365809268	0.0015370291902416864
4689639473003171456	3691.2115855126467	1480.978840527055	108.20452815504062	0.001138072760934829
4689639473003178752	4443.07057547383	1047.119509829484	60.625867974669376	0.004861192687173
4689639473003162368	4116.1045605142135	783.1058928695459	61.13125427615158	0.0020913393269608263
4689639473007346304	4957.241837400943	244.4169405138286	22.529808232624394	0.0025918823110132007
4689639473003815680	4539.85660135746	266.8902099123361	28.277930003845864	0.006382246069077473
4689639266845671552	4477.133351960219	526.4773431816076	41.67295747138714	0.0010564553487485227
4689639473007336192	3830.430707297928	1316.481863721236	93.87741352251287	0.0011420878583209369
4689639266848619776	3595.0748035034485	2161.7381234956315	142.4558239770942	0.0004518223370216853
4689639266848578048	4906.403880324215	306.4689044435078	25.980775515681312	0.002400812017772348
4689639473003168896	4052.574444625061	866.874726605991	66.8088823621426	0.00047423400971810504
4689639266844775296	3454.8733520507812	3214.965291861324	196.24719777217172	0.0017777353199881006
4689639468699955200	4268.716587591916	621.8324017918579	49.9864185671755	0.0026288721674805077
4689639266844727040	3955.9193062782288	1288.1137153272907	86.81352739872203	0.002581098670660196
4689639468699968384	3531.6073608398438	1319.3712733661312	112.12841400944684	0.007631642047823004
4689639473007337472	5026.462272293866	252.00994306762982	22.272543335706935	0.001785202934078767
4689639473004167168	4447.432332634926	279.745373653355	30.280432314671263	0.003934054621706616
4689639266848627200	5010.706615867093	179.8682964224243	18.81157428543261	0.0014895451109723343
4689639266844714240	4830.875398870558	236.94059403669598	23.378949001442393	0.002269236009267056
4689639473007343872	4950.647979201749	250.44312729221556	22.95677775390793	0.003543430755127955
4689639266848592768	3843.1423559295945	543.6836223263348	58.35763505205412	0.0013499872971315168
4689639473003160320	4725.281200962854	246.3185576056357	25.04228871686375	0.0008343998855670754
4689639473003821952	5480.047521240049	136.34977523176144	13.518512546928418	0.002941643766610783
4689639266848573312	4317.378151701632	624.2603794293542	49.17077896373998	0.0007988692348354413
4689639473007322496	4368.772885249928	423.1529041910063	39.01683006750536	0.00017626901115253495
4689639266848624512	5310.877059980849	185.82402247426214	16.99607403971989	0.008118678292556938
4689639468699952768	4614.504829875659	413.6475586048618	34.586515189536215	0.0022450155529290298
4689639472993860224	4645.77030390501	404.35264228889633	33.746797008075276	0.005444255561418663
4689639262541522432	5709.251110106707	112.20638587662903	11.290349285094608	0.024259789084537825
4689639266843964032	4789.882215298712	203.07273994423778	21.96805492928562	0.0007645567323092815
4689639473003207808	5110.0904113962315	254.5496564774599	21.67709495918098	0.004191844746983913
4689639473007360768	4642.752046514943	242.95878108828055	25.717960688945563	0.0004940124994763275
4689639473003207936	4361.161111816764	433.77485614684605	39.674074996899186	0.00047776472748769014
4689639266843962880	3663.2957311435166	1868.1660554417524	125.26247255805539	0.0004215584656135902
4689639468699947520	5481.426201369613	76.48824888945072	10.032447857320829	0.0028792362782736544
4689639473003114752	4255.748864905108	602.9841314146123	49.56623725034013	0.0009690421409289393
4689639296901285632	4881.47506369598	319.71081703371334	26.73153378636043	0.017646461417901257
4689639262541539584	4810.659298411338	219.19747288486147	22.707891030313554	0.002011321083032863
4689639473007360256	6095.323101878166	149.87965054806313	11.107155658735746	0.005597529727983805
4689639473003925120	4525.338517874479	255.49328740239565	27.824097686079483	0.00037179116188908895
4689639468699944064	4892.765515475767	410.6427762815059	30.387694538941084	0.002599090848511156
4689639473007320576	6565.705389063805	73.60244067447789	6.64737063579439	0.0065903187661481965
4689639266845637376	3989.910558355041	941.2140287237389	72.28376231234701	0.0003395947204853725
4689639301195207936	3878.0196409858763	4344.3118551155485	165.7689951180839	0.051641057140143616
4689639473003117696	4401.547684308607	446.971618977947	39.53908600049463	0.0002602700219112285
4689637995526858112	4927.850581370294	256.7047588137818	23.45586216926884	0.0022218645731449964
4689639301195138560	5780.926807608921	66.75872799327136	8.266238630206985	0.0023703690879456
4689639296901286400	4371.906741691491	343.0010107944607	34.87788319937053	0.00043048229689569373
4689639472993771776	4929.319588243961	127.8139132955842	16.351161658548627	0.001570156899395927
4689639193822059904	4182.670504704583	567.6146668626357	49.74088268395474	0.00020298807296003502
4689637991231192960	5510.491795241833	89.35650719649749	10.756547600849444	0.004376239851990549
4689639266845782656	4765.8417892456055	196.2932599642128	21.830044554261363	0.0011785615627441114
4689639468699967872	4155.918066428785	635.0007007239753	53.497341150762786	0.00022948308433571866
4689639473003923328	5563.526160158217	91.11392683477239	10.44326821416231	0.002823382540956992
4689637991231191296	4717.814767171512	197.03593461302899	22.405114842029732	0.0009767308895419233
4689639193822057472	3974.4905725610442	669.8130459550987	60.64848087565223	0.00032359260181837187
4689639301206723072	5074.07815175975	72.75884320150033	11.450740334135771	0.0030619920162418563
4689639198116068608	4582.437317112344	187.17399942571075	23.084303750727766	0.0003074738474372991
4689637991231191168	5319.4516932964325	79.44436223064577	10.870006021563206	0.0009169863758826741
4689639537419420672	4284.027146491062	437.999751422721	41.379492498382604	0.00040127578842258236
4689637991231189504	4069.8211339116096	524.0061931349438	50.52414685438807	0.0002500408652998873
