#Teff E(B-V) chi^2
2000.0000000000002 0.0 0.026519688586361546
2000.0000000000002 0.02 0.026975587725148496
2000.0000000000002 0.04 0.027438193334503456
2000.0000000000002 0.06 0.02790734383524661
2000.0000000000002 0.08 0.02838285442976208
2000.0000000000002 0.1 0.028864532123500555
2000.0000000000002 0.12 0.029352165099058317
2000.0000000000002 0.14 0.029845528082067748
2000.0000000000002 0.16 0.030344376490269533
2000.0000000000002 0.18 0.030848450904293074
2000.0000000000002 0.2 0.031357475862044897
2000.0000000000002 0.22 0.03187115006244993
2000.0000000000002 0.24 0.032389169973031005
2000.0000000000002 0.26 0.03290267911912194
2000.0000000000002 0.28 0.033313883050514914
2000.0000000000002 0.3 0.033724792929124496
2000.0000000000002 0.32 0.0341350028204362
2000.0000000000002 0.34 0.03454412052995302
2000.0000000000002 0.36 0.034951772598141556
2000.0000000000002 0.38 0.035357622014739125
2000.0000000000002 0.4 0.03576142434282182
2000.0000000000002 0.42 0.0361630830302274
2000.0000000000002 0.44 0.036562815525077993
2000.0000000000002 0.46 0.036961473944697947
2000.0000000000002 0.48 0.03721755204885388
2000.0000000000002 0.5 0.03747227350512335
2000.0000000000002 0.52 0.03774793884699491
2000.0000000000002 0.54 0.03810087811604394
2000.0000000000002 0.56 0.03885878447999037
2000.0000000000002 0.58 0.04317212983552608
2000.0000000000002 0.6 0.039733743370030015
2000.0000000000002 0.62 0.03893261544659995
2000.0000000000002 0.64 0.03888767794787076
2000.0000000000002 0.66 0.038971829700140515
2000.0000000000002 0.68 0.0390929419171832
2000.0000000000002 0.7000000000000001 0.03923170791511169
2000.0000000000002 0.72 0.03938786889994908
2000.0000000000002 0.74 0.039571517860068114
2000.0000000000002 0.76 0.039804277516644865
2000.0000000000002 0.78 0.04012554127480062
2000.0000000000002 0.8 0.040596488161012904
2000.0000000000002 0.8200000000000001 0.04126735649442072
2000.0000000000002 0.84 0.042291309616883564
2000.0000000000002 0.86 0.0434926183459593
2000.0000000000002 0.88 0.04188669458048492
2000.0000000000002 0.9 0.040647377903867375
2000.0000000000002 0.92 0.03976810134570715
2000.0000000000002 0.9400000000000001 0.03913587535876334
2000.0000000000002 0.96 0.03864948553650042
2000.0000000000002 0.98 0.03824365430203472
2000.0000000000002 1.0 0.03788007316108753
2000.0000000000002 1.02 0.03811348859961422
2000.0000000000002 1.04 0.03862022981900241
2000.0000000000002 1.06 0.03913009139710388
2000.0000000000002 1.08 0.03963805935422775
2000.0000000000002 1.1 0.04014075428879615
2000.0000000000002 1.12 0.04063584697174913
2000.0000000000002 1.1400000000000001 0.04112165964163513
2000.0000000000002 1.16 0.041596942110726814
2000.0000000000002 1.18 0.04206064761776171
2000.0000000000002 1.2 0.042511759949098296
2000.0000000000002 1.22 0.04294906765493613
2000.0000000000002 1.24 0.04337082377802418
2000.0000000000002 1.26 0.044194986039894545
2000.0000000000002 1.28 0.04541303983927407
2000.0000000000002 1.3 0.04660753833314197
2000.0000000000002 1.32 0.0477606734605659
2000.0000000000002 1.34 0.048839393143236355
2000.0000000000002 1.36 0.04977624785421838
2000.0000000000002 1.3800000000000001 0.0504205274035021
2000.0000000000002 1.4000000000000001 0.05041800670599777
2000.0000000000002 1.42 0.04905182380754718
2000.0000000000002 1.44 0.0470588403331721
2000.0000000000002 1.46 0.0524893359368161
2000.0000000000002 1.48 0.0562422882346262
2000.0000000000002 1.5 0.059098598512247434
2000.0000000000002 1.52 0.06198150174520559
2000.0000000000002 1.54 0.06373159305588944
2000.0000000000002 1.56 0.06393277475712103
2000.0000000000002 1.58 0.06463403712954402
2000.0000000000002 1.6 0.0655973680063506
2000.0000000000002 1.62 0.06666639499480317
2000.0000000000002 1.6400000000000001 0.06777575788039049
2000.0000000000002 1.6600000000000001 0.06889881349654528
2000.0000000000002 1.68 0.070024148114552
2000.0000000000002 1.7 0.07114660404899646
2000.0000000000002 1.72 0.07226383337593587
2000.0000000000002 1.74 0.07337478981256046
2000.0000000000002 1.76 0.07447908981989443
2000.0000000000002 1.78 0.07557672082239361
2000.0000000000002 1.8 0.07666783931518828
2000.0000000000002 1.82 0.0777527163341935
2000.0000000000002 1.84 0.07883168825128131
2000.0000000000002 1.86 0.07990511111312935
2000.0000000000002 1.8800000000000001 0.08097337581939289
2000.0000000000002 1.9000000000000001 0.08203685912419852
2000.0000000000002 1.92 0.083095947532247
2000.0000000000002 1.94 0.0841510229271447
2000.0000000000002 1.96 0.0852024516161055
2000.0000000000002 1.98 0.08625061084158644
2000.0000000000002 2.0 0.08729583155683822
2000.0000000000002 2.02 0.08833845765155487
2000.0000000000002 2.04 0.0893788184691253
2000.0000000000002 2.06 0.09041722205242224
2000.0000000000002 2.08 0.09145396989168329
2000.0000000000002 2.1 0.09248934562989129
2000.0000000000002 2.12 0.09352363469866976
2000.0000000000002 2.14 0.09455708411203063
2000.0000000000002 2.16 0.09558995434488558
2000.0000000000002 2.18 0.09662247272954326
2000.0000000000002 2.2 0.09765487571129501
2000.0000000000002 2.22 0.09868738366321474
2000.0000000000002 2.24 0.09972018842164707
2000.0000000000002 2.2600000000000002 0.10075349064922172
2000.0000000000002 2.2800000000000002 0.10178748289121942
2000.0000000000002 2.3000000000000003 0.10282233032777265
2000.0000000000002 2.32 0.10385821331652731
2000.0000000000002 2.34 0.10489528453216473
2000.0000000000002 2.36 0.1059336960143801
2000.0000000000002 2.38 0.10697359468622616
2000.0000000000002 2.4 0.10801511110795012
2000.0000000000002 2.42 0.10905838608562743
2000.0000000000002 2.44 0.11010352932016143
